,ntraj,x,y,z,subvol,time,boxface,temp,sal,density,density10,ntrajc
903414,22,423.0,49.5,9.5,139952981.25,0.0,2,-1.72,33.99,27.23,0.01,118513903
21,22,424.0,388.25,8.5,643117117.06,0.0,2,22.86,35.67,24.35,0.01,119413762
879494,22,429.0,379.25,8.5,620211540.0,0.0,2,21.7,35.95,24.89,0.02,120293235
1741895,22,431.0,124.5,8.5,227914602.76,0.0,2,-1.55,33.57,26.89,0.01,121155636
21,22,433.0,123.5,8.5,226079000.18,0.0,2,-1.45,33.57,26.88,0.01,122013092
930268,22,438.0,368.25,8.5,591409942.77,0.0,2,20.52,35.89,25.17,0.02,122943339
21,22,440.0,37.5,8.5,110978026.35,0.0,2,-1.78,33.86,27.13,0.01,123987325
1099498,22,443.0,367.25,8.5,588758350.08,0.0,2,20.22,35.82,25.2,0.02,125086802
21,22,446.0,367.75,8.5,588758350.08,0.0,2,20.02,35.78,25.22,0.02,126257404
21,22,450.0,382.75,8.5,627923536.35,0.0,2,21.93,35.86,24.76,0.01,127550965
21,22,451.0,372.75,8.5,601966761.25,0.0,2,20.94,35.86,25.03,0.01,128910028
21,22,454.0,372.25,8.5,601966761.25,0.0,2,21.01,35.86,25.02,0.01,130273474
21,22,458.0,368.75,8.5,591409942.77,0.0,2,19.98,35.76,25.22,0.02,131650230
21,22,461.0,368.25,8.5,591409942.77,0.0,2,19.92,35.79,25.25,0.02,133041714
21,22,463.0,376.75,8.5,612432096.53,0.0,2,20.89,35.9,25.07,0.01,134427148
21,22,468.0,374.75,8.5,607211850.5,0.0,2,20.57,35.81,25.1,0.01,135809144
21,22,470.0,11.5,8.5,89085035.71,0.0,2,-1.73,33.53,26.86,0.02,137206719
21,22,472.0,5.5,9.5,96524847.86,0.0,2,-1.65,33.43,26.78,0.06,138615128
21,22,475.0,7.5,9.5,98178137.57,0.0,2,-1.72,33.52,26.85,0.04,140027277
21,22,479.0,6.5,9.5,97348076.77,0.0,2,-1.71,33.3,26.68,0.04,141434718
