,ntraj,x,y,z,subvol,time,boxface,temp,sal,density,density10,ntrajc,binnedx_i,binnedy_i,bin_depth_i
1437721,630472,1437.0,299.92,53.5,8587645257.93,-31104000.0,2,2.22,34.72,27.73,1.39,359161115,1437,300,54
1437722,630473,1437.0,299.07,54.5,8918690743.16,-31104000.0,2,2.18,34.75,27.76,1.41,359161116,1437,299,55
1437723,630474,1437.0,299.21,54.5,8918690743.16,-31104000.0,2,2.18,34.75,27.76,1.41,359161117,1437,299,55
1437724,630475,1437.0,299.35,54.5,8918690743.16,-31104000.0,2,2.18,34.75,27.76,1.41,359161118,1437,299,55
1437725,630476,1437.0,299.5,54.5,8918690743.16,-31104000.0,2,2.18,34.75,27.76,1.41,359161119,1437,300,55
1437726,630477,1437.0,299.64,54.5,8918690743.16,-31104000.0,2,2.18,34.75,27.76,1.41,359161120,1437,300,55
1437727,630478,1437.0,299.78,54.5,8918690743.16,-31104000.0,2,2.18,34.75,27.76,1.41,359161121,1437,300,55
1437728,630479,1437.0,299.92,54.5,8918690743.16,-31104000.0,2,2.18,34.75,27.76,1.41,359161122,1437,300,55
1437729,630480,1437.0,299.07,55.5,9224405098.09,-31104000.0,2,2.12,34.77,27.77,1.43,359161123,1437,299,56
1437730,630481,1437.0,299.21,55.5,9224405098.09,-31104000.0,2,2.12,34.77,27.77,1.43,359161124,1437,299,56
1437731,630482,1437.0,299.35,55.5,9224405098.09,-31104000.0,2,2.12,34.77,27.77,1.43,359161125,1437,299,56
1437732,630483,1437.0,299.5,55.5,9224405098.09,-31104000.0,2,2.12,34.77,27.77,1.43,359161126,1437,300,56
1437733,630484,1437.0,299.64,55.5,9224405098.09,-31104000.0,2,2.12,34.77,27.77,1.43,359161127,1437,300,56
1437734,630485,1437.0,299.78,55.5,9224405098.09,-31104000.0,2,2.12,34.77,27.77,1.43,359161128,1437,300,56
1437735,630486,1437.0,299.92,55.5,9224405098.09,-31104000.0,2,2.12,34.77,27.77,1.43,359161129,1437,300,56
1437736,630487,1437.0,299.07,56.5,9504391947.37,-31104000.0,2,2.04,34.77,27.79,1.45,359161130,1437,299,57
1437737,630488,1437.0,299.21,56.5,9504391947.37,-31104000.0,2,2.04,34.77,27.79,1.45,359161131,1437,299,57
1437738,630489,1437.0,299.35,56.5,9504391947.37,-31104000.0,2,2.04,34.77,27.79,1.45,359161132,1437,299,57
1437739,630490,1437.0,299.5,56.5,9504391947.37,-31104000.0,2,2.04,34.77,27.79,1.45,359161133,1437,300,57
1437740,630491,1437.0,299.64,56.5,9504391947.37,-31104000.0,2,2.04,34.77,27.79,1.45,359161134,1437,300,57
1437741,630492,1437.0,299.78,56.5,9504391947.37,-31104000.0,2,2.04,34.77,27.79,1.45,359161135,1437,300,57
1437742,630493,1437.0,299.92,56.5,9504391947.37,-31104000.0,2,2.04,34.77,27.79,1.45,359161136,1437,300,57
1437743,630494,1437.0,299.07,57.5,9758875217.33,-31104000.0,2,1.89,34.78,27.8,1.46,359161137,1437,299,58
